ProductID,urlName,Description,url
60001,Deotine,"Deotine Capsules",http://www.mydr.com.au/medicines/cmis/deotine-capsules
70001,Tecfidera,"Tecfidera Capsules",http://www.mydr.com.au/medicines/cmis/tecfidera-capsules
120001,Buscopan,"Buscopan Tablets",http://www.mydr.com.au/medicines/cmis/buscopan-tablets
120003,Buscopan,"Buscopan Solution for injection",http://www.mydr.com.au/medicines/cmis/buscopan-solution-for-injection
120004,Buscopan,"Buscopan Forte Tablets",http://www.mydr.com.au/medicines/cmis/buscopan-forte-tablets
160001,Colofac,"Colofac Tablets",http://www.mydr.com.au/medicines/cmis/colofac-tablets
170001,Cytotec,"Cytotec Tablets",http://www.mydr.com.au/medicines/cmis/cytotec-tablets
440001,Flutiform,"Flutiform 50/5 Metered dose inhaler",http://www.mydr.com.au/medicines/cmis/flutiform-50-5-metered-dose-inhaler
440002,Flutiform,"Flutiform 125/5 Metered dose inhaler",http://www.mydr.com.au/medicines/cmis/flutiform-125-5-metered-dose-inhaler
440003,Flutiform,"Flutiform 250/10 Metered dose inhaler",http://www.mydr.com.au/medicines/cmis/flutiform-250-10-metered-dose-inhaler
500001,Pro-Banthine,"Pro-Banthine Tablets",http://www.mydr.com.au/medicines/cmis/pro-banthine-tablets
560001,Tagamet,"Tagamet Tablets",http://www.mydr.com.au/medicines/cmis/tagamet-tablets
590001,Zantac,"Zantac Tablets",http://www.mydr.com.au/medicines/cmis/zantac-tablets
590002,Zantac,"Zantac Concentrate for injection",http://www.mydr.com.au/medicines/cmis/zantac-concentrate-for-injection
590003,Zantac,"Zantac Effervescent tablets",http://www.mydr.com.au/medicines/cmis/zantac-effervescent-tablets
590006,Zantac,"Zantac Syrup",http://www.mydr.com.au/medicines/cmis/zantac-syrup
670001,Bisalax,"Bisalax Tablets",http://www.mydr.com.au/medicines/cmis/bisalax-tablets
670002,Bisalax,"Bisalax Enema",http://www.mydr.com.au/medicines/cmis/bisalax-enema
