id,section_id,title,url,reviewed,created,pub_status,section_url,"canonical url"
270,16,"Antibiotics and children",antibiotics-and-children,2013-05-20,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/antibiotics-and-children
271,14,Anticoagulants,anticoagulants,2015-07-21,"2008-12-03 11:11:37",1,heart-stroke,http://www.mydr.com.au/heart-stroke/anticoagulants
273,18,Anxiety,anxiety,2012-10-19,"2008-12-03 11:11:37",1,mental-health,http://www.mydr.com.au/mental-health/anxiety
274,16,Appendicitis,appendicitis,2012-12-12,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/appendicitis
275,4,"Arthritis overview",arthritis-overview,2010-09-01,"2008-12-03 11:11:37",1,arthritis,http://www.mydr.com.au/arthritis/arthritis-overview
276,29,Aspirin,aspirin,2012-12-21,"2008-12-03 11:11:37",1,medicines,http://www.mydr.com.au/medicines/aspirin
279,20,"Back pain",back-pain,2009-02-13,"2008-12-03 11:11:37",1,pain,http://www.mydr.com.au/pain/back-pain
281,16,Bed-wetting,bed-wetting,2013-04-08,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/bed-wetting
282,11,"Bee stings",bee-stings,2015-10-05,"2008-12-03 11:11:37",1,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/bee-stings
283,22,"Bell's palsy",bell-s-palsy,2015-09-25,"2008-12-03 11:11:37",1,seniors-health,http://www.mydr.com.au/seniors-health/bell-s-palsy
289,22,"Brain health in old age",brain-health-in-old-age,2012-04-11,"2008-12-03 11:11:37",1,seniors-health,http://www.mydr.com.au/seniors-health/brain-health-in-old-age
290,19,"Bread in the diet",bread-in-the-diet,2013-08-08,"2008-12-03 11:11:37",1,nutrition-weight,http://www.mydr.com.au/nutrition-weight/bread-in-the-diet
293,28,"Breast awareness",breast-awareness,2009-11-30,"2008-12-03 11:11:37",1,womens-health,http://www.mydr.com.au/womens-health/breast-awareness
294,16,Bullying,bullying,2011-08-31,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/bullying
295,24,Bunions,bunions,2016-01-21,"2008-12-03 11:11:37",1,skin-hair,http://www.mydr.com.au/skin-hair/bunions
301,11,"Dental caries",dental-caries,2010-06-30,"2008-12-03 11:11:37",1,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/dental-caries
302,24,"Carpal tunnel syndrome",carpal-tunnel-syndrome,2012-12-21,"2008-12-03 11:11:37",1,skin-hair,http://www.mydr.com.au/skin-hair/carpal-tunnel-syndrome
303,22,Cataracts,cataracts,2010-06-18,"2008-12-03 11:11:37",1,seniors-health,http://www.mydr.com.au/seniors-health/cataracts
304,11,"Cat scratch disease",cat-scratch-disease,2015-09-25,"2008-12-03 11:11:37",1,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/cat-scratch-disease
305,12,"Bowel cancer",bowel-cancer,2015-07-21,"2008-12-03 11:11:37",1,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/bowel-cancer
307,11,"Chronic fatigue syndrome ",chronic-fatigue-syndrome,2013-10-02,"2008-12-03 11:11:37",1,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/chronic-fatigue-syndrome
308,26,"Health checks",health-checks,2010-11-03,"2008-12-03 11:11:37",1,tests-investigations,http://www.mydr.com.au/tests-investigations/health-checks
309,19,"Cheese in the diet",cheese-in-the-diet,2011-01-12,"2008-12-03 11:11:37",1,nutrition-weight,http://www.mydr.com.au/nutrition-weight/cheese-in-the-diet
310,11,"Chickenpox in adults",chickenpox-in-adults,2015-10-23,"2008-12-03 11:11:37",1,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/chickenpox-in-adults
312,28,Chlamydia,chlamydia,2009-11-23,"2008-12-03 11:11:37",1,womens-health,http://www.mydr.com.au/womens-health/chlamydia
315,12,"Coeliac disease",coeliac-disease,2009-12-02,"2008-12-03 11:11:37",1,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/coeliac-disease
319,18,"Co-morbid depression",co-morbid-depression,2013-02-13,"2008-12-03 11:11:37",1,mental-health,http://www.mydr.com.au/mental-health/co-morbid-depression
320,10,"Sore eyes",sore-eyes,2013-04-10,"2008-12-03 11:11:37",1,eye-health,http://www.mydr.com.au/eye-health/sore-eyes
322,24,"Corns and calluses",corns-and-calluses,2015-09-08,"2008-12-03 11:11:37",1,skin-hair,http://www.mydr.com.au/skin-hair/corns-and-calluses
325,29,Antibiotics,antibiotics,2015-12-09,"2008-12-03 11:11:37",1,medicines,http://www.mydr.com.au/medicines/antibiotics
328,24,Cramp,cramp,2009-02-16,"2008-12-03 11:11:37",1,skin-hair,http://www.mydr.com.au/skin-hair/cramp
333,16,"Hearing problems in children",hearing-problems-in-children,2009-12-02,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/hearing-problems-in-children
335,14,"Deep vein thrombosis",deep-vein-thrombosis,2012-11-13,"2008-12-03 11:11:37",1,heart-stroke,http://www.mydr.com.au/heart-stroke/deep-vein-thrombosis
337,6,"Contraception: injection",contraception-injection,2010-02-12,"2008-12-03 11:11:37",1,babies-pregnancy,http://www.mydr.com.au/babies-pregnancy/contraception-injection
338,18,"Depression: the facts",depression-the-facts,2010-01-26,"2008-12-03 11:11:37",1,mental-health,http://www.mydr.com.au/mental-health/depression-the-facts
340,27,Diphtheria,diphtheria,2013-09-11,"2008-12-03 11:11:37",1,travel-health,http://www.mydr.com.au/travel-health/diphtheria
342,11,"Diving accidents",diving-accidents,2010-06-30,"2008-12-03 11:11:37",1,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/diving-accidents
343,14,"Dizzy turns",dizzy-turns,2013-05-13,"2008-12-03 11:11:37",1,heart-stroke,http://www.mydr.com.au/heart-stroke/dizzy-turns
346,2,"Alcohol: drinking problems",alcohol-drinking-problems,2014-09-18,"2008-12-03 11:11:37",1,addictions,http://www.mydr.com.au/addictions/alcohol-drinking-problems
348,16,"Drugs and young people",drugs-and-young-people,2010-06-30,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/drugs-and-young-people
350,13,"Swimmer's ear (otitis externa)",swimmers-ear-otitis-externa,2015-11-07,"2008-12-03 11:11:37",1,hearing-health,http://www.mydr.com.au/hearing-health/swimmers-ear-otitis-externa
351,16,Earwax,earwax,2010-06-30,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/earwax
352,28,"Eating disorders",eating-disorders,2009-05-29,"2008-12-03 11:11:37",1,womens-health,http://www.mydr.com.au/womens-health/eating-disorders
354,24,Eczema,eczema,2010-04-14,"2008-12-03 11:11:37",1,skin-hair,http://www.mydr.com.au/skin-hair/eczema
356,16,"Pulled elbow",pulled-elbow,2012-12-21,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/pulled-elbow
359,10,Eyelids,eyelids,2013-02-28,"2008-12-03 11:11:37",1,eye-health,http://www.mydr.com.au/eye-health/eyelids
363,19,"Takeaway food",takeaway-food,2015-12-08,"2008-12-03 11:11:37",1,nutrition-weight,http://www.mydr.com.au/nutrition-weight/takeaway-food
364,2,"Fetal alcohol spectrum disorder",fetal-alcohol-spectrum-disorder,2012-01-11,"2008-12-03 11:11:37",1,addictions,http://www.mydr.com.au/addictions/fetal-alcohol-spectrum-disorder
365,16,"Temperatures and febrile convulsions in children",temperatures-and-febrile-convulsions-in-children,2008-10-10,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/temperatures-and-febrile-convulsions-in-children
368,10,"Floaters: tiny particles in the eye",floaters-tiny-particles-in-the-eye,2012-12-12,"2008-12-03 11:11:37",1,eye-health,http://www.mydr.com.au/eye-health/floaters-tiny-particles-in-the-eye
369,21,"Flu vaccination",flu-vaccination,2015-03-30,"2008-12-03 11:11:37",1,respiratory-health,http://www.mydr.com.au/respiratory-health/flu-vaccination
373,16,"Healthy eating and toddlers",healthy-eating-and-toddlers,2013-05-16,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/healthy-eating-and-toddlers
375,19,"Dietary fibre",dietary-fibre,2015-05-01,"2008-12-03 11:11:37",1,nutrition-weight,http://www.mydr.com.au/nutrition-weight/dietary-fibre
376,16,"Glandular fever",glandular-fever,2012-04-04,"2008-12-03 11:11:37",1,kids-teens-health,http://www.mydr.com.au/kids-teens-health/glandular-fever
377,7,"Lymphatic system",lymphatic-system,2013-10-08,"2008-12-03 11:11:37",1,cancer-care,http://www.mydr.com.au/cancer-care/lymphatic-system
378,22,"Eyesight problems: when you need glasses",eyesight-problems-when-you-need-glasses,2014-02-25,"2008-12-03 11:11:37",1,seniors-health,http://www.mydr.com.au/seniors-health/eyesight-problems-when-you-need-glasses
379,22,"Glaucoma: a common cause of blindness",glaucoma-a-common-cause-of-blindness,2009-06-01,"2008-12-03 11:11:37",1,seniors-health,http://www.mydr.com.au/seniors-health/glaucoma-a-common-cause-of-blindness
380,12,"Food poisoning",food-poisoning,2013-02-28,"2008-12-03 11:11:37",1,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/food-poisoning
381,19,"Nuts in a healthy diet",nuts-in-a-healthy-diet,2013-09-24,"2008-12-03 11:11:37",1,nutrition-weight,http://www.mydr.com.au/nutrition-weight/nuts-in-a-healthy-diet
382,19,"Unsaturated fats",unsaturated-fats,2015-05-01,"2008-12-03 11:11:37",1,nutrition-weight,http://www.mydr.com.au/nutrition-weight/unsaturated-fats
386,3,"Hay fever",hay-fever,2009-11-18,"2008-12-03 11:11:37",1,allergy,http://www.mydr.com.au/allergy/hay-fever
389,12,Haemochromatosis,haemochromatosis,2015-08-31,"2008-12-03 11:11:37",1,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/haemochromatosis
391,14,Heartbeat,heartbeat,2013-09-11,"2008-12-03 11:11:37",1,heart-stroke,http://www.mydr.com.au/heart-stroke/heartbeat
393,14,"Heart murmurs",heart-murmurs,2009-02-13,"2008-12-03 11:11:37",1,heart-stroke,http://www.mydr.com.au/heart-stroke/heart-murmurs
406,28,Mammograms,mammograms,2013-07-15,"2008-12-03 11:11:37",1,womens-health,http://www.mydr.com.au/womens-health/mammograms
411,18,"ADHD treatments",adhd-treatments,2012-10-19,"2008-12-03 11:11:37",1,mental-health,http://www.mydr.com.au/mental-health/adhd-treatments
414,23,"Sex and the ageing process",sex-and-the-ageing-process,2010-04-14,"2008-12-03 11:11:37",1,sexual-health,http://www.mydr.com.au/sexual-health/sex-and-the-ageing-process
416,2,Alcohol,alcohol,2009-04-20,"2008-12-03 11:11:37",1,addictions,http://www.mydr.com.au/addictions/alcohol
417,27,"Altitude sickness",altitude-sickness,2009-10-23,"2008-12-03 11:11:37",1,travel-health,http://www.mydr.com.au/travel-health/altitude-sickness
418,22,"Alzheimer's disease",alzheimers-disease,2013-08-09,"2008-12-03 11:11:37",1,seniors-health,http://www.mydr.com.au/seniors-health/alzheimers-disease
420,14,Aneurysm,aneurysm,2009-11-19,"2008-12-03 11:11:38",1,heart-stroke,http://www.mydr.com.au/heart-stroke/aneurysm
423,25,"Heat stroke and heat exhaustion",heat-stroke-and-heat-exhaustion,2010-07-21,"2008-12-03 11:11:38",1,sports-fitness,http://www.mydr.com.au/sports-fitness/heat-stroke-and-heat-exhaustion
424,25,"Heel spurs",heel-spurs,2013-02-11,"2008-12-03 11:11:38",1,sports-fitness,http://www.mydr.com.au/sports-fitness/heel-spurs
426,12,"Hepatitis: an overview",hepatitis-an-overview,2009-11-30,"2008-12-03 11:11:38",1,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/hepatitis-an-overview
427,12,"Hepatitis B vaccine",hepatitis-b-vaccine,2014-08-19,"2008-12-03 11:11:38",1,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/hepatitis-b-vaccine
430,21,"Haemophilus influenzae ",haemophilus-influenzae,2009-12-16,"2008-12-03 11:11:38",1,respiratory-health,http://www.mydr.com.au/respiratory-health/haemophilus-influenzae
431,21,"Hiccups: why do we hiccup?",hiccups-why-do-we-hiccup,2013-09-18,"2008-12-03 11:11:38",1,respiratory-health,http://www.mydr.com.au/respiratory-health/hiccups-why-do-we-hiccup
433,28,"Hirsutism in women",hirsutism-in-women,2009-12-16,"2008-12-03 11:11:38",1,womens-health,http://www.mydr.com.au/womens-health/hirsutism-in-women
435,26,"Helicobacter pylori test: simple test for stomach germ",helicobacter-pylori-test-simple-test-for-stomach-germ,2014-01-29,"2008-12-03 11:11:38",1,tests-investigations,http://www.mydr.com.au/tests-investigations/helicobacter-pylori-test-simple-test-for-stomach-germ
