id,title,format_type,medical_type,author_id,author,source_id,source,note,reviewed,status,licensable,page_image,section_url,url,word_count
5297,"White-tail spider bite",standard_article,all_about_your_condition,2,myDr,3,myDr,,"2016-07-15 00:58:00",1,1,https://s3-ap-southeast-2.amazonaws.com/mydr2016/site_content/files/images/categories/bitesandstings/white_tail_spider_500.gif,allergy,http://www.mydr.com.au/allergy/white-tail-spider-bite,1227
5296,"Zinc shortens the length of a cold",news,treatments,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-14 05:53:00",1,2,,respiratory-health,http://www.mydr.com.au/respiratory-health/zinc-shortens-the-length-of-a-cold,332
5295,"Cradle cap",standard_article,all_about_your_condition,2,myDr,3,myDr,,"2016-07-13 23:21:00",1,1,,babies-pregnancy,http://www.mydr.com.au/babies-pregnancy/cradle-cap,1190
5294,"Insulin has no long-term benefit in type 2 diabetes",news,treatments,62,"Rachel Worsley",,,,"2016-07-11 07:31:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/insulin-has-no-long-term-benefit-in-type-2-diabetes,326
5293,"Pre-diabetes can be reversed by weight loss",news,all_about_your_condition,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-11 06:58:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/pre-diabetes-can-be-reversed-by-weight-loss,319
5292,"Experts warn against HIV home tests",news,medical_tests,53,"Australian Doctor ",68,"Australian Doctor
",,"2016-07-07 05:12:00",1,2,,sexual-health,http://www.mydr.com.au/sexual-health/experts-warn-against-hiv-home-tests,197
5291,"Obese children costing Australia more",news,all_about_your_condition,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-07 04:23:00",1,2,,kids-teens-health,http://www.mydr.com.au/kids-teens-health/obese-children-costing-australia-more,256
5290,"7 Worrying facts about ice use in Australia",news,all_about_your_condition,56,"Rada Rouse",47,"Medical Observer",,"2016-07-06 03:26:00",1,2,,addictions,http://www.mydr.com.au/addictions/7-worrying-facts-about-ice-use-in-australia,170
5289,"Shingles increases the risk of stroke for several years after",news,all_about_your_condition,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-05 23:33:00",1,2,,heart-stroke,http://www.mydr.com.au/heart-stroke/shingles-increases-the-risk-of-stroke-for-several-years-after,284
5288,"Chronic fatigue syndrome (CFS) linked to gut imbalance",news,all_about_your_condition,62,"Rachel Worsley",67,"6minutes.com.au
",,"2016-07-05 06:40:00",1,2,,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/chronic-fatigue-syndrome-cfs-linked-to-gut-imbalance,211
5287,"Paracetamol in pregnancy increases risk of autism in boys",news,symptoms,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-05 06:21:00",1,2,,babies-pregnancy,http://www.mydr.com.au/babies-pregnancy/paracetamol-in-pregnancy-increases-risk-of-autism-in-boys,281
5286,"Measles alert after 3 confirmed cases in Victoria",news,symptoms,56,"Rada Rouse",47,"Medical Observer",,"2016-07-04 06:52:00",1,2,,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/measles-alert-after-3-confirmed-cases-in-victoria,173
5285,"Starting exercise later in life improves quality of life",news,exercise_fitness,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-04 06:07:00",1,2,,sports-fitness,http://www.mydr.com.au/sports-fitness/starting-exercise-later-in-life-improves-quality-of-life,254
5284,"Medicare refund cheques phased out",news,all_about_your_condition,54,"6minutes ",67,"6minutes.com.au
",,"2016-07-01 04:43:00",1,2,,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/medicare-refund-cheques-phased-out,218
5283,"Eating butter is mildly protective of developing diabetes",news,nutrition,56,"Rada Rouse",47,"Medical Observer",,"2016-07-01 04:41:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/eating-butter-is-mildly-protective-of-developing-diabetes,382
5282,"Instructional video influences end-of-life care decisions",news,treatments,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-30 06:31:00",1,2,,seniors-health,http://www.mydr.com.au/seniors-health/instructional-video-influences-end-of-life-care-decisions,273
5281,"Delay in eye checks for newly diagnosed diabetes patients",news,medical_tests,56,"Rada Rouse",47,"Medical Observer",,"2016-06-30 05:41:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/delay-in-eye-checks-for-newly-diagnosed-diabetes-patients,251
5280,"Young Australians drinking less alcohol",news,nutrition,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-29 06:45:00",1,2,,addictions,http://www.mydr.com.au/addictions/young-australians-drinking-less-alcohol,268
5279,"Pregnant women eating too much meat and dairy",news,nutrition,63,"Staff Writer",68,"Australian Doctor
",,"2016-06-29 06:08:00",1,2,,babies-pregnancy,http://www.mydr.com.au/babies-pregnancy/pregnant-women-eating-too-much-meat-and-dairy,282
5278,"British doctor mistakenly removes man's testicle then pretends it's still there",news,treatments,42,"Medical Observer ",47,"Medical Observer",,"2016-06-29 05:39:00",1,2,,mens-health,http://www.mydr.com.au/mens-health/british-doctor-mistakenly-removes-man-s-testicle-then-pretends-it-s-still-there,422
5277,"Migraine sufferers outperform others on memory and cognitive tests",news,all_about_your_condition,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-28 06:17:00",1,2,,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/migraine-sufferers-outperform-others-on-memory-and-cognitive-tests,208
5276,"Raw milk blamed for toddler's death",news,symptoms,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-28 06:05:00",1,2,,nutrition-weight,http://www.mydr.com.au/nutrition-weight/raw-milk-blamed-for-toddler-s-death,327
5274,"Regular running does not raise risk of knee arthritis",news,all_about_your_condition,61,"Hugo Wilcken",47,"Medical Observer",,"2016-06-27 05:57:00",1,2,,arthritis,http://www.mydr.com.au/arthritis/regular-running-does-not-raise-risk-of-knee-arthritis,353
5273,"Breast cancer survival could be improved by adding progesterone",news,treatments,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-27 05:46:00",1,2,,cancer-care,http://www.mydr.com.au/cancer-care/breast-cancer-survival-improved-by-adding-progesterone,282
5271,"Skim milk may worsen teenage acne",news,nutrition,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-24 01:47:00",1,2,,skin-hair,http://www.mydr.com.au/skin-hair/skim-milk-may-worsen-teenage-acne,225
5270,"Diet rich in fruit and vegetables reduces diabetes risk",news,nutrition,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-24 00:34:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/diet-rich-in-fruit-and-vegetables-reduces-diabetes-risk,334
5269,"Genetic testing is helping solve mystery of unexplained death in young people",news,all_about_your_condition,54,"6minutes ",67,"6minutes.com.au
",,"2016-06-23 07:45:00",1,2,,heart-stroke,http://www.mydr.com.au/heart-stroke/genetic-testing-is-helping-solve-mystery-of-unexplained-death-in-young-people,211
5268,"Evidence for some plant-based therapies in treating menopause symptoms",news,treatments,,,67,"6minutes.com.au
",,"2016-06-23 07:06:00",1,2,,womens-health,http://www.mydr.com.au/womens-health/evidence-for-some-plant-based-therapies-in-treating-menopause-symptoms,468
5267,"Gastric bypass better than gastric banding for inducing remission in diabetes",news,treatments,61,"Hugo Wilcken",47,"Medical Observer",,"2016-06-23 06:31:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/gastric-bypass-better-than-gastric-banding-for-inducing-remission-in-diabetes,281
5266,"Circumcision by Australian GPs not cutting it",news,treatments,56,"Rada Rouse",47,"Medical Observer",,"2016-06-23 06:05:00",1,2,,babies-pregnancy,http://www.mydr.com.au/babies-pregnancy/circumcision-by-australian-gps-not-cutting-it,378
5265,"Only 2 per cent of people opting out of electronic health record",news,medical_tests,42,"Medical Observer ",47,"Medical Observer",,"2016-06-21 06:50:00",1,2,,first-aid-self-care,http://www.mydr.com.au/first-aid-self-care/only-2-per-cent-of-people-opting-out-of-electronic-health-record,226
5264,"Assess your own bone health with new tool",news,medical_tests,62,"Rachel Worsley",67,"6minutes.com.au
",,"2016-06-21 06:02:00",1,2,,seniors-health,http://www.mydr.com.au/seniors-health/assess-your-own-bone-health,389
5263,"Risk of diabetic retinopathy halved by intensive blood sugar lowering",news,treatments,61,"Hugo Wilcken",67,"6minutes.com.au
",,"2016-06-20 07:04:00",1,2,,diabetes,http://www.mydr.com.au/diabetes/risk-of-diabetic-retinopathy-halved-by-intensive-blood-sugar-lowering-therapy,367
5262,"New black lung cases prompt call for tighter standards in coal mines",news,symptoms,60,AAP,68,"Australian Doctor
",,"2016-06-20 06:31:00",1,2,,respiratory-health,http://www.mydr.com.au/respiratory-health/new-black-lung-cases-prompt-call-for-tighter-standards-in-coal-mines,477
5261,"Statin medicines may protect against inflammatory bowel disease",news,treatments,57,"Clare Pain",67,"6minutes.com.au
",,"2016-06-17 05:54:00",1,2,,gastrointestinal-health,http://www.mydr.com.au/gastrointestinal-health/statin-medicines-may-protect-against-inflammatory-bowel-disease,220
