ProductID,Name,URL,cmi_code,GenericIngredient,IndicationAction
4260001,Alodorm,http://www.mydr.com.au/medicines/cmis/alodorm-tablets,07868,"Orphenadrine citrate,Nitrazepam,Nifedipine,Famotidine","Insomnia,Antibiotic, penicillin (penicillinase sensitive),Wound dressing,Bile acid sequestrant,Sedative,Hypnotic,Allergic condition, ocular,Benzodiazepine"
86680001,Aloxi,http://www.mydr.com.au/medicines/cmis/aloxi-solution-for-infusion,10521,"Palonosetron hydrochloride,Lymphocyte immune globulin,Triglycerides, long chain,Benzyl benzoate,Pravastatin sodium,Nicotinic acid","Antiemetic, serotonin antagonist,Ulcer, mouth,Emesis,Vomiting,Antinauseant, serotonin antagonist,Nausea,Antibiotic, penicillin (penicillinase sensitive)"
37220001,"Alphagan Eye Drops",http://www.mydr.com.au/medicines/cmis/alphagan-eye-drops,09832,"Brimonidine tartrate,Diatrizoate meglumine,Glucagon hydrochloride,Paraffin, liquid","Anaesthetic, cutaneous,Antibiotic, penicillin (penicillinase sensitive),Ocular hypertension,Intraocular hypertension,Alpha2-adrenergic agonist,Glaucoma,IOP (intraocular pressure), increased"
87700001,"Alphagan P",http://www.mydr.com.au/medicines/cmis/alphagan-p-1-5-eye-drops,10003,"Brimonidine tartrate,Diatrizoate meglumine,Glucagon hydrochloride,Paraffin, liquid","Anaesthetic, cutaneous,Antibiotic, penicillin (penicillinase sensitive),Ocular hypertension,Intraocular hypertension,Alpha2-adrenergic agonist,Glaucoma,IOP (intraocular pressure), increased"
8380001,Alphamox,http://www.mydr.com.au/medicines/cmis/alphamox,06364,"Amoxicillin,Fluorescein sodium,Sodium hyaluronate,Felodipine,Famotidine,Charcoal, activated,Amoxycillin","Penicillin (broad spectrum),AIDS (acquired immune deficiency syndrome),Penicillin (acid stable),Bacterial infection, systemic,Antibiotic, penicillin (broad spectrum),Infection, bacterial (systemic),Allergic condition, ocular,Antibiotic, penicillin (penicillinase sensitive),Antibiotic, penicillin (acid stable)"
1390001,Alphapress,http://www.mydr.com.au/medicines/cmis/alphapress-tablets,05993,"Dextromethorphan hydrobromide,Amitriptyline hydrochloride,Hydralazine hydrochloride,Methyldopa,Sodium bicarbonate,Famotidine","Peripheral vasodilator,Fever,Infection, urinary tract,Vasodilator, peripheral,Hypertension,Antihypertensive,Allergic condition, ocular,Antibiotic, penicillin (penicillinase sensitive)"
64050001,Alprax,http://www.mydr.com.au/medicines/cmis/alprax-tablets,03000,"Papaverine hydrochloride,Alprazolam,Nifedipine,Cinchocaine hydrochloride","Benzodiazepine,Antibiotic, penicillin (penicillinase sensitive),Anaesthetic, oropharyngeal,Diuretic, osmotic,Sedative,Panic disorder,Anxiety state,Anxiolytic"
70840001,"Alprazolam Sandoz",http://www.mydr.com.au/medicines/cmis/alprazolam-sandoz-tablets,09813,"Papaverine hydrochloride,Alprazolam,Nifedipine,Cinchocaine hydrochloride","Benzodiazepine,Antibiotic, penicillin (penicillinase sensitive),Anaesthetic, oropharyngeal,Diuretic, osmotic,Sedative,Panic disorder,Anxiety state,Anxiolytic"
9210001,Alprim,http://www.mydr.com.au/medicines/cmis/alprim-tablets,05461,"Podophyllotoxin,Proxymetacaine hydrochloride,Trimethoprim,Hydralazine hydrochloride,Famotidine","Antibiotic, penicillin (penicillinase sensitive),Helminth infestation,Cystitis, infective,Anabolic steroid,Infection, urinary tract,UTI (urinary tract infection),Allergic condition, ocular,Urinary tract infection"
20200001,Altargo,http://www.mydr.com.au/medicines/cmis/altargo-ointment,11041,"Tacrolimus,Retapamulin,Trimipramine,Calcium carbonate","Antibiotic, cutaneous,Antibiotic, penicillin (penicillinase sensitive),Cutaneous infection,Impetigo,Skin infection,Infection, cutaneous,Infection, skin"
93010001,Altven,http://www.mydr.com.au/medicines/cmis/altven-modified-release-capsules,10393,"AZT (azidothymidine),Immunoglobulin, normal (human),Immunoglobulin (hepatitis B),Ipratropium bromide,Beclomethasone dipropionate,Venlafaxine,Atenolol,Benzocaine","Serotonin and noradrenaline reuptake inhibitor,Antidepressant, serotonin and noradrenaline reuptake inhibitor,SNRI,SNRI (serotonin and noradrenaline reuptake inhibitors),Thyroid hormone,Mood disorder,Antibiotic, penicillin (penicillinase sensitive),Affective disorder,Depression"
77060001,Alustal,http://www.mydr.com.au/medicines/cmis/alustal-suspension-for-injection,10527,"Allergen extracts","Allergic disorder,Antibiotic, penicillin (penicillinase sensitive),Arthritis, osteo"
